t,y_approx,y_exact,abs_error
0,0.5,0.5,0
0.1,0.65,0.657415,0.00741454
0.2,0.814,0.829299,0.0152986
0.3,0.9914,1.01507,0.0236706
0.4,1.18154,1.21409,0.0325477
0.5,1.38369,1.42564,0.0419454
0.6,1.59706,1.64894,0.0518772
0.7,1.82077,1.88312,0.0623539
0.8,2.05385,2.12723,0.0733828
0.9,2.29523,2.3802,0.0849671
1,2.54375,2.64086,0.0971046
1.1,2.79813,2.90792,0.109787
1.2,3.05694,3.17994,0.122999
1.3,3.31864,3.45535,0.136714
1.4,3.5815,3.7324,0.150899
1.5,3.84365,4.00916,0.165504
1.6,4.10302,4.28348,0.180468
1.7,4.35732,4.55303,0.195708
1.8,4.60405,4.81518,0.211127
1.9,4.84045,5.06705,0.226598
2,5.0635,5.30547,0.241972
