t,y_approx,y_exact,abs_error
0,0.5,0.5,0
0.1,0.657,0.657415,0.000414541
0.2,0.828435,0.829299,0.000863621
0.3,1.01372,1.01507,0.00134992
0.4,1.21221,1.21409,0.00187631
0.5,1.42319,1.42564,0.00244583
0.6,1.64588,1.64894,0.00306174
0.7,1.8794,1.88312,0.00372751
0.8,2.12278,2.12723,0.0044468
0.9,2.37497,2.3802,0.00522352
1,2.6348,2.64086,0.0060618
1.1,2.90095,2.90792,0.00696599
1.2,3.172,3.17994,0.00794068
1.3,3.44636,3.45535,0.00899072
1.4,3.72228,3.7324,0.0101212
1.5,3.99782,4.00916,0.0113373
1.6,4.27084,4.28348,0.0126448
1.7,4.53898,4.55303,0.0140492
1.8,4.79962,4.81518,0.0155565
1.9,5.04988,5.06705,0.017173
2,5.28657,5.30547,0.0189048
